"Host.ID","Host.Name","Host.Since","Host.Location","Host.About","Host.Response.Time","Host.Response.Rate","Host.Listings.Count","Host.Verifications","Host Has Profile Pic","Host Identity Verified","Host Is Superhost"
11902716,"Daniel Y Ximena",2014-02-03,"Madrid, Community of Madrid, Spain","Aficionados al cine, la música, los amigos, el barrio... Ambos venimos del mundo audiovisual y nos gusta vivir una vida tranquila.
Cualquier pregunta, no dudes en contactarnos.
Estaremos encantados de recibirte en casa.
Saludos!","within a day",100,1,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
809083,"Michael",2011-07-12,"Madrid, Madrid, Spain","I'm a US expat who enjoys welcoming people from around the world. I respect guest privacy but also welcome guests to join for libations and good conversation.

I was raised in a cow town south of Buffalo, NY, lived in NYC for 20 years and just outside NYC in South Norwalk, CT for the three years prior to my big leap to Spain. I moved to Madrid in January, 2011. I go back to the US frequently for business and to visit friends and family.

My schooling was in music (MM from Manhattan School of Music); I specialize in branding and communications, mostly for companies in Silicon Valley or otherwise in the tech sector. I was with MTV Networks in NYC for 13 years, where my last position was VP Digital for the cable networks Nick at Nite and TV Land. I am a commercial aviation nut and love to travel.

When I can get there, I enjoy a home I've co-owned for several years on the tip of Cape Cod, just outside of Provincetown.","within a day",94,3,"email,phone,facebook,reviews,jumio,work_email",TRUE,TRUE,FALSE
7005367,"Sergio",2013-06-19,"Madrid, Community of Madrid, Spain","Viajar, música, libros y naturaleza.","within a day",80,4,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
1647109,"Daniel",2012-01-24,"Region of Murcia, Spain","Amante del Running. Deportista. Me encanta el cine y el teatro. Entusiasta.","within an hour",100,10,"email,phone,facebook,reviews,jumio,work_email",TRUE,TRUE,TRUE
9738650,"Carlos Chamarro",2013-10-31,"Madrid, Community of Madrid, Spain","Hi I'm Carlos. I am an actor and a painter originally from Barcelona. I currently live here in Madrid but am away a lot with work. As I live in my flat I trust you will treat my personal items with the respect you would have if you were in your own place. I want you to feel at home and enjoy your stay in Madrid! :)
Amélie, from France often helps me to organise all of it and she will be always able to answer you...","within a few hours",100,1,"email,phone,reviews,jumio",TRUE,TRUE,TRUE
15258781,"Erasmo´S",2014-05-08,"Madrid, Community of Madrid, Spain","Disfruta de tu habitación en el centro de Madrid junto a los mejores compañeros !!!","within a few hours",100,114,"email,phone,reviews,work_email",TRUE,FALSE,FALSE
14405469,"Irene",2014-04-17,"Madrid, Community of Madrid, Spain","Me pasaría la vida viajando y creo que Airbnb me va permite viajar desde casa! ;)","within a few hours",100,6,"email,phone,reviews,jumio,government_id",TRUE,TRUE,FALSE
16829950,"Jaime González",2014-06-15,"Majadahonda, Community of Madrid, Spain","","within a few hours",97,8,"email,phone,reviews,jumio,work_email",TRUE,TRUE,FALSE
44233425,"Andrew",2015-09-15,"ES","","within a few hours",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
4831338,"Angel",2013-01-24,"Madrid, Community of Madrid, Spain","De mediana edad. Seguro que podré ayudarte.

Frase: Vive y deja vivir","within a few hours",100,4,"email,phone,reviews",TRUE,FALSE,FALSE
9733293,"Liza",2013-10-31,"ES","","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
49765515,"Salim",2015-11-24,"Vitoria-Gasteiz, Basque Country, Spain","","within an hour",100,1,"email,phone,reviews,jumio,offline_government_id,government_id",TRUE,TRUE,FALSE
101200180,"Elvira",2016-10-25,"Madrid, Community of Madrid, Spain","¡Hola! Me llamo Elvira y tengo 24 años. Vivo con mi perro Tango, un Springer Spaniel muy cariñoso y simpático. 
Trabajo desde casa pero viajo mucho así que paso tiempo fuera de casa. Me gusta el orden, la limpieza y la tranquilidad en casa. Para mí es fundamental la confianza en la convivencia.
He tenido experiencias previas con Airbnb desde hace años, pero me mudé y cambié de perfil. Todas, tanto como anfitrión como huésped, han sido muy satisfactorias. He conocido a gente de todo el mundo y los intercambios han sido geniales.","within an hour",100,3,"email,phone,google,reviews,jumio,government_id",TRUE,TRUE,FALSE
14399705,"Fede",2014-04-17,"Madrid, Community of Madrid, Spain","","within a few hours",78,1,"email,phone,facebook,reviews,jumio",TRUE,TRUE,FALSE
49319573,"Yann",2015-11-18,"Paris, Île-de-France, France","Me gusta ser amable , cine teatro buenos amigos y buena comida","within a few hours",100,1,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
